"","n_parameter_total","cor","type","strong_prfm","wai_prfm","wbc_prfm","null_prfm"
"1",100,0.3,"forward",1,0.945,0.893333333333333,0.844666666666667
"2",100,0.3,"lasso",1,0.286666666666667,0.411666666666667,0.117333333333333
"3",100,0.7,"forward",1,0.933333333333333,0.788333333333333,0.838
"4",100,0.7,"lasso",1,0.333333333333333,0.278333333333333,0.1
"5",150,0.3,"forward",1,0.622,0.582333333333333,0.504666666666667
"6",150,0.3,"lasso",1,0.235,0.333333333333333,0.125
"7",150,0.7,"forward",1,0.631333333333333,0.464,0.548
"8",150,0.7,"lasso",1,0.262,0.260666666666667,0.124333333333333
"9",200,0.3,"forward",0.976666666666667,0.408,0.406,0.369
"10",200,0.3,"lasso",1,0.190666666666667,0.255333333333333,0.150333333333333
"11",200,0.7,"forward",0.943333333333333,0.425333333333333,0.378,0.379666666666667
"12",200,0.7,"lasso",1,0.177333333333333,0.280666666666667,0.130333333333333
